loc_name,for_name,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat
Voltage Measurement-AES TV,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\AES Andrés.ElmSite\Voltage Measurement-AES TV.StaVmea,0,,,CENTRAL 138 kV,
ac Voltage Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\AES Andrés.ElmSite\BESS 1_AES Andrés.ElmComp\ac Voltage Measurement.StaVmea,0,,,CENTRAL 138 kV,
Voltage Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Los Mina 5.ElmSite\Voltage Measurement.StaVmea,0,,,CENTRAL 138 kV,
Voltage Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Mata de Palma 2.ElmSite\PF Washington Capital 2(1).ElmComp\Voltage Measurement.StaVmea,0,,,CENTRAL 138 kV,
Voltage Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Mata de Palma 2.ElmSite\Planta_PF Washington Capital 3.ElmComp\Voltage Measurement.StaVmea,0,,,CENTRAL 138 kV,
Fmeas-Los Mina 7,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Los Mina 7.ElmSite\Planta_Los Mina 7.ElmComp\Fmeas-Los Mina 7.StaVmea,0,,,CENTRAL 138 kV,
Voltage Measurement-Los Mina 7,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Los Mina 7.ElmSite\Voltage Measurement-Los Mina 7.StaVmea,0,,,CENTRAL 138 kV,
V Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Planta Martí.ElmComp\V Measurement.StaVmea,0,,,CENTRAL 138 kV,
Voltage Measurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\La Victoria.ElmSite\Planta_PF La Victoria.ElmComp\Voltage Measurement.StaVmea,0,,,CENTRAL 138 kV,
VoltageMeasurement,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Mirasol(1).ElmSite\Planta_Mirasol.ElmComp\VoltageMeasurement.StaVmea,0,,,CENTRAL 138 kV,
Voltage Measurement_Hatillo 2,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\Voltage Measurement_Hatillo 2.StaVmea,0,,,NORTE 69 kV,
