branch_id,branch_base_id,branch_parallel_index,from_bus,to_bus,circuit_id,branch_type,r_pu,x_pu,fmax_mw,in_service_base,closure_flag,series_parameter_status,thermal_limit_status,closure_flag_is_binary,operational_status,closure_semantics_hint,pypsa_v1_component,pypsa_v1_include,tap_ratio_hint,pypsa_v1_mapping_reason,from_bus_in_buses,to_bus_in_buses,source_sheet,source_row_number
WCNPEE__WUASDE__L1,WCNPEE__WUASDE__L1,1,WCNPEE,WUASDE,L1,line,0.00104155,0.00527038,317.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,25
WCNSLF__WHMAYF__L1,WCNSLF__WHMAYF__L1,1,WCNSLF,WHMAYF,L1,line,0.070988,0.259819,79.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,729
WCOAPE__WCSOLK__T1,WCOAPE__WCSOLK__T1,1,WCOAPE,WCSOLK,T1,transformer,0.002345,0.100588,130.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,transformer,True,,standard_branch,True,True,e_datred,702
WCOAPE__WLROME__L1,WCOAPE__WLROME__L1,1,WCOAPE,WLROME,L1,line,0.020537,0.084202,158.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,701
WCOCOF__WABCOF__L1,WCOCOF__WABCOF__L1,1,WCOCOF,WABCOF,L1,line,0.0368,0.1338,55.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,536
WCOCOF__WSJOCF__L1,WCOCOF__WSJOCF__L1,1,WCOCOF,WSJOCF,L1,line,0.20749,0.29126,37.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,535
WCOHEF__WXOFAF__L1,WCOHEF__WXOFAF__L1,1,WCOHEF,WXOFAF,L1,line,0.0047,0.017,79.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,254
WCONSF__WTIREF__L1,WCONSF__WTIREF__L1,1,WCONSF,WTIREF,L1,line,0.0637,0.06842,34.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,445
WCOTAE__WCOTBE__L1,WCOTAE__WCOTBE__L1,1,WCOTAE,WCOTBE,L1,line,0.0,0.0001,158.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,757
WCOTAE__WCSO1K__T1,WCOTAE__WCSO1K__T1,1,WCOTAE,WCSO1K,T1,transformer,0.0,0.156,65.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,transformer,True,,standard_branch,True,True,e_datred,755
WCOTAE__WCSO2K__T1,WCOTAE__WCSO2K__T1,1,WCOTAE,WCSO2K,T1,transformer,0.0,0.156,65.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,transformer,True,,standard_branch,True,True,e_datred,756
WCOTBE__WCSO3K__T1,WCOTBE__WCSO3K__T1,1,WCOTBE,WCSO3K,T1,transformer,0.0,0.156,65.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,transformer,True,,standard_branch,True,True,e_datred,758
WCOTBE__WHGUEE__L1,WCOTBE__WHGUEE__L1,1,WCOTBE,WHGUEE,L1,line,0.010049,0.043105,158.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,759
WCOTUF__WHATIF__L1,WCOTUF__WHATIF__L1,1,WCOTUF,WHATIF,L1,line,0.017300000000000003,0.06192,79.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,322
WCPVCF__WXCDAF__L1,WCPVCF__WXCDAF__L1,1,WCPVCF,WXCDAF,L1,line,0.014842,0.022889,45.0,1,1,series_parameter_present,positive_thermal_limit,True,closed,binary_switch_state,line,True,,standard_branch,True,True,e_datred,284
