loc_name,for_name,ruta,S_nom_MVA,U_AT_kV,U_BT_kV,uk_pct,ukr_pct,Pcu_kW,Pfe_kW,i0_pct,grupo,con_AT,con_BT,tap_lado,tap_dU_pct,tap_fase_deg,tap_neutro,tap_min,tap_max,f_Hz
138/34.5 kV Trafo Santanasol 60 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/34.5 kV Trafo Santanasol 60 MVA.TypTr2,60.0,138.0,34.5,12.460000038146973,0.5,300.0,0.0,0.0,YNd11,YN,D,0,1.5,0.0,0,-7,7,60.0
138/34.5 kV Trafo PF Calabaza 1 60 MVA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/34.5 kV Trafo PF Calabaza 1 60 MVA.TypTr2,60.0,138.0,34.5,12.460000038146973,0.5,300.0,0.0,0.0,YNd11,YN,D,0,1.25,0.0,-8,-15,-1,60.0
138/34.5 kV Peravia T1 y T2 (90 MVA),,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/34.5 kV Peravia T1 y T2 (90 MVA).TypTr2,90.0,138.0,34.5,12.109999656677246,0.5,450.0,0.0,0.0,YNd11,YN,D,0,1.0,0.0,11,1,21,60.0
138/69 S/E Móvil ETED (80 MVA),,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/69 S/E Móvil ETED (80 MVA).TypTr2,80.0,138.0,69.0,10.0,0.5,400.0,0.0,0.0,YNyn0,YN,YN,0,1.0,0.0,14,1,27,60.0
154/11 kV Powership Azua KPS56,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\154/11 kV Powership Azua KPS56.TypTr2,80.0,154.0,11.0,15.0,0.5,400.0,0.0,0.0,YNd11,YN,D,0,1.25,0.0,13,1,25,60.0
138/69 kV Arroyo Hondo T1 (200 MVA),,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/69 kV Arroyo Hondo T1 (200 MVA).TypTr2,200.0,138.0,69.0,14.628000259399414,0.5,1000.0,0.0,0.0,YNyn0,YN,YN,0,1.1538000106811523,0.0,11,1,21,60.0
138/69 kV Herrera T1 (70 MVA),,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/69 kV Herrera T1 (70 MVA).TypTr2,70.0,138.0,69.0,10.899999618530273,0.1784999966621399,124.94999694824219,0.0,0.0,YNyn0,YN,YN,0,1.0,0.0,16,1,31,60.0
138/69 kV Dajao T1(150 MVA),,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/69 kV Dajao T1(150 MVA).TypTr2,150.0,138.0,69.0,11.8100004196167,0.18806667625904083,282.1000061035156,26.200000762939453,0.029999999329447746,YNyn0,YN,YN,0,1.0,0.0,12,1,23,60.0
138/69 kV Boca Chica T1 (80 MVA),,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/69 kV Boca Chica T1 (80 MVA).TypTr2,80.0,138.0,69.0,9.899999618530273,0.5,400.0,0.0,0.0,YNyn0,YN,YN,0,1.0,0.0,14,1,27,60.0
138/69 kV Haina,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Equipment Type Library.IntPrjfolder\Types Transformers\138/69 kV Haina.TypTr2,150.0,138.0,69.0,12.369999885559082,0.5,750.0,0.0,0.0,YNyn0,YN,YN,0,1.0,0.0,12,1,23,60.0
